Identifier,Title,Date of Publication,Place of Publication
453764,Polska. Przełożył Z. Poznański: Single Works,1898,Lwów
453766,Impressions of Russia ... Translated ... by S. C. Eastman: Single Works,1889,New York
453767,[Impressions of Russia ... Translated ... by S. C. Eastman.]: Single Works,1890,London
454205,Arthur Brandon. A novel. [By Mary Isabella Irwin Brotherton.],1856,London
455431,"Lady Branksmere. [A novel.] By the author of 'Phyllis' [i.e. Margaret Wolfe Argles, afterwards Hungerford], etc",1886,London
455604,The Illustrated Historical and Descriptive Guide to Bournemouth ... Tenth edition. Revised and corrected by D. Sydenham,1869,Poole
455605,[The Illustrated Historical and Descriptive Guide to Bournemouth ... Tenth edition. Revised and corrected by D. Sydenham.],1871,Bournemouth
455624,"The Metallic Alloys. A practical guide for the manufacture of all kinds of alloys, amalgams, and solders ... New, revised and enlarged edition",1896,Philadelphia
455625,"Petroleum ... Together with the occurrence and uses of natural gas. Edited chiefly from the German of Prof. Hans Hoefer and Dr. Alexander Veith, by W. T. Brannt ... Illustrated, etc. (Based upon “Das Erdoel und seine Verwandten,” von Prof. H. Hoefer, and “Das Erdoel und seine Verarbeitung,” von Dr. A. Veith.)",1895,Philadelphia
455971,Two Knapsacks in the Channel Islands ... Illustrated by V. Prout,1897,London
456580,"In the Trades, the Tropics, & the Roaring Forties ... With 292 illustrations ... after drawings by R. T. Pritchett",1885,London
456581,"[In the Trades, the Tropics, & the Roaring Forties ... With 292 illustrations ... after drawings by R. T. Pritchett.]",1886,London
456583,"The Last Voyage ... 1887. [Lady Brassey's journals and notes of her last voyage in the “Sunbeam”; edited by Lady Barker. With a brief memoir by Lord Brassey. With illustrations and a map.] (Appendix. Part I. Voyage from Darnley Island to Port Darwin, Cape of Good Hope, and England. By Lord Brassey.-Part II. A. Abstract of log of “Sunbeam,” prepared by Thomas Allnutt Brassey. B. Outline of voyage, reprinted from “The Times.”)",1889,London
456589,A Voyage in the “Sunbeam.” Our home on the ocean for eleven months ... With 188 illustrations ... chiefly after drawings by the Hon. A. Y. Bingham. [With a preface by Lord Brassey.],1878,London
456596,"Voyage d'une famille autour du monde ... Traduit de l'anglais par J. Butler ... [Abridged.] Deuxième édition: A Voyage in the “Sunbeam” ... With 66 illustrations engraved on wood by G. Pearson, chiefily after drawings by the Hon A. Y. Bingham ... New edition",1878,Paris
456612,Voyages and Travels of Lord Brassey from 1862 to 1894. Arranged and edited by Captain S. Eardley-Wilmot,1895,London
456828,"[A Strappado for the Diuell. Epigrams and satyres alluding to the time, with diuers measures of no lesse delight. By Μισοσυκος to his friend Φιλοκρατες. (Loues Labyrinth: or the True-Louers knot, etc.)]",1878,Boston
458428,"Die Mainufer und ihre nächsten Umgebungen ... Mit 54 Stahlstichen, nach Originalzeichnungen von Fritz Bamberger. Nebst einer Stromkarte vom Main",1844,Würzburg
458722,Herinneringen eener reize naar Nieuwyork gedaan in de jaren 1831 en 1832. Benevens eenige bijzonderheden omtrent Constant Polari ... beschuldigd met den diefstal der juweelen van ... de Prinses van Oranje. [By J. de Brauw.],1833,Leiden
458859,La Patria Boliviana. Estado geográfico. Por Carlos Bravo con la colaboración de Don Manuel V. Ballivian,1894,La Paz
459444,"A series of views in Islington and Pentonville, from original drawings, made in the year 1818, by Augustus Pugin, with a description of each subject by Edward Wedlake Brayley",1819,London
459450,"A Topographical and Historical Description of London and Middlesex ... By Messrs Brayley, Brewer, and Nightingale ... Illustrated with one hundred and fifty views, etc",1820,London
459452,"[A Topographical History of Surrey: by E. W. Brayley ... assisted by John Britton ... and E. W. Brayley, jun. ... The geological section by Gideon Mantell. (The illustrative department under the superintendence of Thomas Allom.) [With plates.]]",1850,London
461165,"Histoire de la Révolution française de 1774 à 1804, jusqu'à la proclamation de l'Empire",1848,Paris
462545,"Kalendars of Gwynedd; or, Chronological lists of lords-lieutenant, custodes rotulorum, sheriffs, and knights of the shire, for the counties of Anglesey, Caernarvon, and Merioneth ... Compiled by E. Breese ... With notes by William Watkin Edward Wynne",1873,London
462553,"The Early History of Illinois, from its discovery by the French, in 1673, until its cession to Great Britain in 1763, including the narrative of Marquette's discovery of the Mississippi. By S. Breese ... With a biographical memoir by Melville W. Fuller. Edited by Thomas Hoyne. [With maps and a portrait.]",1884,Chicago
464267,"Minnows from Brenchley Brook. [Verses, etc., by Francis Storr the elder, Francis Storr the younger and others. Edited by Bernard Bigsby.] MS. notes",1861,London
465037,The Poetical Works of the late John Brent ... Revised edition. [Edited by Francis and Algernon Brent.],1884,London
466074,"Chroniques de Flandre et d'Artois ... Analyse et extraits pour servir à l'histoire de ces provinces de 1482 à 1560, par E. Mannier",1880,Paris
466604,"Bolivia. Sept années d'explorations, de voyages et de séjours dans l'Amérique Australe ... Préface de M. Ferdinand de Lesseps. Ouvrage illustré ... par Henri Lanos",1886,Paris
467995,Zes jaren te Tripoli in Barbarije. Uit de gedenkschriften eener Nederlandsche vrouw [W. F. A. L. van Breugel]. Door M. A. Perk,1875,Amsterdam
468455,"The Beauties of Ireland: being original delineations, topographical, historical, and biographical, of each county ... Illustrated with engravings, by J. & H. S. Storer, after original drawings, chiefly by Mr. Petrie",1825,London
468457,"A Descriptive and Historical Account of various Palaces and Public Buildings, English and foreign: with biographical notices of their founders ... With various additions and emendations, by B. R. Gill. [With plates.]",1821,London
469181,Archives royales de Chenonceau. Comptes des receptes et despences faites en la Chastellenie de Chenonceau par Diane de Poitiers ... publiés pour la première fois ... par M. l'abbé C. Chevalier,1864,Paris
469995,"The Bride Elect. A novel. By the author of “The Jilt” [i.e. Henrietta M. G. Smythies], etc",1852,London
470940,"Some Account of the Barony and Town of Okehampton ... Including the journals kept by Messrs. Rattenbury and Shebbeare ... from the 21 James I., to the death of William III.; with notes genealogical, descriptive, and explanatory ... Edited and enlarged from the collections made by W. B. Bridges, the Rev. C. Thomas and the Rev. H. G. Fothergill ... A new edition, with additional chapters, edited by W. H. K. Wright",1889,Tiverton
471459,"Ane breif descriptioun of the qualiteis and effectis of the Well of the Woman Hill besyde Abirdene, Anno Do. 1580. [By Gilbert Skeyne?] A facsimile ... With an introduction by A. K",1884,Aberdeen
472143,A Modern Brigand. By the author of 'Miss Bayle's Romance' [i.e. William Fraser Rae],1888,London
472190,The Brigantine. A story of the sea. [By J. Pascoe.],1863,London
473189,"Suez Canal & Channel Tunnel. Peace or war with France? Speech ... at Birmingham, June 15th, 1883. With a preface by the Hon. Francis Lawley: Speeches and other Works",1883,London
473676,"The New Brighton Guide; or, Companion for young ladies and gentlemen to all the watering-places in Great Britain. With notes, historical, moral and personal. [In verse. By John Williams.]: Appendix",1796,H. D. Symonds
473757,"Jane Brightwell; or, the Beggar's petition. A romance. [By James M. Rymer.]",1848,London
474227,[Essays ... Edited by William George Clark. [With a portrait.]],1882,London
474877,[Parijs tijdens de Roode Terreur.] Robespierre and the Red Terror. From the Dutch ... by J. Hedeman. With 16 illustrations,1899,London
474959,"Studien en schetsen over vaderlandsche geschiedenis en letteren, uit vroegere opstellen bijeenverzameld en herzien door R. C. Bakhuizen van den Brink. [dl. 2 edited by E. J. Potgieter: dl. 3, 4 by P. A. Tiele.]",1860,Amsterdam
475428,Professor Blumentritt's Studies on the Philippines. (From the American Anthropologist.),1899,Washington
477102,Bristol and its Environs. A descriptive poem. In two books. [By Henry Brewer.]: Appendix,1833,Bristol
477119,"Cursory Observations on the Churches of Bristol. By an occasional visitor [i.e. Samuel Griffiths Tovey]. The second edition, revised and considerably augmented: Appendix",1843,Bristol
477151,"The New History, Survey and Description of the City and Suburbs of Bristol, etc. [By the Rev. George Heath. A type facsimile of the edition of 1794. With a portrait.]: Appendix",1898,Bristol
478468,"The British Poets of the Nineteenth Century. Including the select works of Crabbe, Wilson, Coleridge, Wordsworth, Rogers. Campbell, Miss Landon, Barton, Montgomery, Southey, Hogg, Barry Cornwall, and others. Being a supplementary volume to the Poetical Works of Byron, Scott and Moore. [Edited by J. W. Lake.]",1828,Paris
478513,"British Scenery. A poetical sketch. By a quondam Oxonian, and Carthusian [i.e. Daniel Cabanel]",1811,London
478741,De Benguella ás Terras de Iácca. Descripção de uma viagem na Africa Central e Occidental ... Expedição organisada nos annos de 1877-1880. Edição illustrada,1881,Lisboa
478742,From Benguella to the territory of Yacca. Description of a journey into Central and West Africa ... Translated by Alfred Elwes ... With maps and ... illustrations,1882,London
479757,"[The Beauties of England and Wales; or, Delineations, topographical, historical, and descriptive, of each country. Embellished with engravings. (vol. 1-6 by E. W. Brayley and J. Britton; vol. 7 by E. W. Brayley; vol. 8 by E. W. Brayley; vol. 9 by J. Britton; vol. 10, pt. 1, 2, by E. W. Brayley; vol. 10, pt. 3 by the Rev. Joseph Nightingale; vol. 10, pt. 4 by J. Norris Brewer; vol. 11 by the Rev. J. Evans and J. Britton; vol. 12, pt. 1 by the Rev. J. Hodgson and Mr. F. C. Laird; vol. 12, pt. 2 by J. N. Brewer; vol. 13 by the Rev. J. Nightingale; vol. 14 by Frederic Shoberl; vol. 15 by J. Britton, J. Norris Brewer, J. Hodgson, F. C. Laird; vol. 16 by John Bigland; vol. 17 by the Rev. J. Evans; vol. 18 by Thomas Rees.) L.P.]",1801,London
479762,A Topographical and Historical Description of Chester ... Illustrated with six engravings and a map,1818,London
480249,"Registers of Broad Chalke, Co. Wilts, from 1538 to 1780. Edited by the Rev. Cecil Gurden Moore",1881,London
481742,"The Year of Battles: or the Franco-German War of 1870-'71 ... With maps, plans of battles, and numerous portraits ... By C. Weber",1871,New York
481743,"Woman's Work in the Civil War: a record of heroism, patriotism and patience ... With an introduction, by H. W. Bellows ... Illustrated, etc",1867,Philadelphia
482444,"The Government of Sir Edmund Andros over New England, in 1688 and 1689, read before the New York Historical Society, etc",1867,Morrisania
482571,"Vagrant Verses, and a play ... With illustrations by Wallis Mackay and the author",1876,London
483421,Het Tusschenbestuur in het Leycestersche tijdvak. Naar officieele bescheiden bewerkt,1899,Goes
483778,Frederick the Great and Maria Theresa. From hitherto unpublished documents. 1740-1742 ... From the French by Mrs. Cashel Hoey and Mr. John Lillie,1883,London
483791,"An Ambassador of the Vanquished. Viscount Élie de Gontaut-Biron's mission to Berlin, 1871-1877. From his diaries and memoranda ... Translated, with notes, by A. D. Vandam",1896,London
483800,"Le Secret du roi ... Correspondance secrète de Louis XV. avec ses agents diplomatiques. 1752-1774. [With special reference to the correspondence of Charles François, Count de Broglie.]",1878,Paris
483801,"The King's Secret: being the secret correspondence of Louis XV. with his diplomatic agents, from 1752 to 1774",1879,London
484318,"The Queenes Exchange, a comedy, etc. [In verse. Edited by H. Brome.]",1657,London
484355,"Every-day Life. A true story. [The preface signed: E. A. B., i.e. Elizabeth A. Bromehead.]",1877,London
485594,Jane Eyre,1897,London
485595,Jane Eyre,1897,London
485597,Jane Eyre,1899,London
486471,"The Poetical Works [including the plays in verse and prose] of Henry Brooke, Esq. ... Revised and corrected by the original manuscript; with a portrait of the author, and his life. By Miss Brooke. The third edition",1792,Dublin
486597,"A Letter from Borneo: with notices of the country and its inhabitants. Adressed to James Gardner, Esq. [Edited by John C. Templer.]",1842,London
486800,"Dove Cottage. Wordsworth's home from 1800-1808, etc",1890,London
487139,"The General Gazetteer ... The eighteenth edition, with very considerable additions ... by A. Picquot",1827,London
487140,"[The General Gazetteer ... The eighteenth edition, with very considerable additions ... by A. Picquot.]",1831,London
